Date,AAPL,AMZN,AVGO,BRK-B,GOOG,INTC,JPM,LLY,MA,META,MSFT,NFLX,NVDA,ORCL,TSLA,XOM
2020-03-25,260065689710.99854,46939542294.496185,7624264077.873983,169909077.2192688,663000000000.0,194341310554.5044,240507947321.69788,109217998256.36382,30425905686.353577,478000000000.0,1065916065701.7144,150243014978.94177,3743720209.121704,133386856519.71436,6519230155.05265,122221766231.7844
2020-03-26,273751149090.271,48673166254.20804,8522143701.8299675,173138350.153656,663000000000.0,210568047286.9873,257261907885.59875,120333227024.65926,31220712246.95616,478000000000.0,1132590258764.151,159282421235.28882,3920831027.984619,146568826572.14355,6385158135.605965,127236466028.71307
2020-03-27,262417236476.44043,47294479864.94278,8084770500.220003,169146479.9078064,663000000000.0,198549638782.50122,238934724777.00568,120118275980.05646,29378404908.299286,478000000000.0,1086085274588.217,156706628348.2694,3852090053.5583496,144681517031.37207,6218324208.532326,121107390292.96985
2020-03-30,269906063178.86353,48883742138.12784,8414904443.993187,172460482.6843872,663000000000.0,208263331405.63965,245148697022.78467,123996537444.19484,30042733341.17221,478000000000.0,1162481039332.5635,162779710763.47147,4048101751.3275146,146220366511.4746,6070470189.810898,122910080045.08955
2020-03-31,269355239145.20264,48529548974.16794,8309413693.75926,172130972.9539032,663000000000.0,203121508079.5288,233980866267.52307,124247322175.6181,28655958020.69301,478000000000.0,1144198602697.0613,165137622059.0,4017770112.991333,140326259501.70898,6334866255.403534,124333546762.00699
2020-04-01,255182632399.292,47483650264.37784,7837343329.940376,165653579.076828,663000000000.0,194714431266.78467,219245049652.84937,122187319332.16132,27119714411.804504,478000000000.0,1103570269374.8772,160115321496.18268,3704853292.46521,141429624130.7373,5821790293.546318,122892776810.01056
2020-04-02,259440706979.6753,47760679619.20422,8308012905.069141,169212376.1075592,663000000000.0,203984753463.74512,227431622187.7591,127346356004.52562,28338038761.84424,478000000000.0,1126423576302.1555,162754005204.18268,3893853326.7974854,144594408031.18896,5494287433.503166,132290669234.28049
2020-04-03,255712225313.5681,47456019870.54773,8209884492.779198,167903718.0921936,663000000000.0,203159027847.29004,220709165160.48132,125089264235.24765,28118568444.685654,478000000000.0,1116048708132.5247,159095040662.4126,3717655918.121338,143433034895.20264,5803051810.569145,128393948299.2479
2020-04-06,278019855921.4783,49721058909.94464,8847021447.213936,174399945.6117096,663000000000.0,219297712593.0786,234915555971.01077,126835855482.28828,31548129390.638306,478000000000.0,1199047189253.304,167099039857.38898,4090931058.883667,149501347875.3662,6241052090.185272,132519826916.1759
2020-04-07,274799669285.73608,50069775369.03815,8876110116.872053,174409355.25,663000000000.0,219185072532.6538,238014070819.38953,127077665374.61784,30734336408.680817,478000000000.0,1186132716581.2192,163721527932.19843,3948113977.432251,147381811827.2705,6594184778.724594,135041206590.86145
